Month,Iowa Leading Indicator Index,Avg Weekly Manufacturing Hours,Residential Building Permits,New Orders Index,Avg Weekly Unemployment Claims,Yield Spread,Diesel Fuel Consumption (Gallons),Iowa Stock Market Index,Agricultural Futures Profits Index,Non-Farm Employment Coincident Index,Corn Profits,Soybean Profits,Cattle Profits,Hog Profits,1 Month Diffusion Index,6 Month Diffusion Index
Jan 1999,99.77,41.83,1136,52.4,2768,0.27,44828906,39.2,3.24,99.11,61.43,201.83,6.69,25.5,,
Feb 1999,99.59,41.68,1123,51,2765,0.44,44737672.83,37.65,2.92,99.28,57.4,185.72,15.01,26.32,50,
Mar 1999,99.88,41.58,1146,51.1,2768,0.66,45145275.5,38.87,0.38,99.47,53.96,170.82,20.25,25.21,75,
Apr 1999,100.05,41.6,1158,50.7,2806,0.77,45302449.83,41.06,-0.53,99.67,51.02,158.15,20.44,25.43,56.25,
May 1999,100.02,41.53,1131,51.5,2894,0.91,45501298.75,42.34,-2,99.83,48.39,143.74,18.56,24.93,50,
Jun 1999,100.13,41.5,1148,51.6,2901,1.18,45632264.83,41.98,-1.35,99.99,46.26,129.38,19.45,23.69,50,
Jul 1999,99.88,41.44,1149,52.4,2985,1.1,45674983.33,43.01,-7.32,100.14,43.42,113.2,16.04,16.99,50,56.25
Aug 1999,99.91,41.37,1149,52.5,2990,1.07,45915779.33,41.13,2.53,100.27,43.93,104.69,17.27,19.99,50,62.5
Sep 1999,100.03,41.39,1124,53.5,2929,1.1,46056847.33,39.53,2.26,100.39,44.11,98.55,17.44,23.13,68.75,50
Oct 1999,100.12,41.4,1078,53.9,2975,1.09,46269488.42,40.14,3.15,100.5,42.32,89.79,20.09,26.48,62.5,37.5
Nov 1999,100.32,41.4,1123,54.8,2924,0.8,46350124.67,42.41,-0.79,100.62,40.02,75.89,17.51,27.86,68.75,37.5
Dec 1999,100.29,41.33,1092,55.8,2896,0.92,46536051.42,40.86,-0.18,100.72,37.22,64.23,16.84,28.95,50,37.5
Jan 2000,100.44,41.31,1095,57,2891,1.16,46623830.67,39.38,0.64,100.83,37.27,58.17,19.23,28.81,81.25,62.5
Feb 2000,100.26,41.38,1103,57.7,2930,0.79,46687637.67,36.68,-2.17,100.93,37.86,56.19,18.97,26.18,50,56.25
Mar 2000,100.3,41.48,1120,58.5,2904,0.4,46743503.5,35.83,0.07,101.04,38.43,55.9,20.46,25.42,75,62.5
Apr 2000,100.54,41.51,1123,60.1,2879,0.17,46853225.75,38.95,0.37,101.07,39.42,56.66,21.82,25.02,87.5,62.5
May 2000,100.6,41.51,1127,60.2,2820,0.45,46877473,39.83,-3.98,101.11,41.09,59.41,16.15,22.43,81.25,62.5
Jun 2000,100.67,41.48,1148,59.9,2804,0.24,47058030.08,39.39,2.15,101.11,40.57,58.24,17.41,24.67,50,62.5
Jul 2000,100.45,41.51,1150,59.1,2750,-0.09,47188835.33,37.31,-1.96,101.17,39.31,56.51,12.89,24.74,50,62.5
Aug 2000,100.07,41.56,1138,58.3,2686,-0.45,46699441.33,37.83,-2.86,101.24,35.99,51.92,10.01,23.23,37.5,68.75
Sep 2000,100.12,41.65,1118,57.5,2677,-0.38,46913857.5,37.52,0,101.3,33.81,47.99,10.11,23.66,56.25,50
Oct 2000,99.93,41.65,1112,56.2,2660,-0.55,46770768.42,37.92,-0.21,101.36,33.7,42.92,10.28,23.57,31.25,25
Nov 2000,99.75,41.69,1065,55.5,2786,-0.64,46637401.67,39.18,2,101.41,34.6,40.64,12.11,25.18,37.5,25
Dec 2000,99.54,41.63,1027,54.3,2882,-0.7,46534163.83,42.23,0.42,101.4,36.43,39.47,16.8,23.11,25,25
Jan 2001,99.68,41.61,1026,52.8,2842,-0.13,46387844.42,43.03,2.07,101.42,36.69,32.94,21.83,23.52,56.25,43.75
Feb 2001,99.5,41.58,1019,51,2890,0.09,46644261.92,42.03,-3.83,101.41,35.92,23.33,13.93,23.04,25,43.75
Mar 2001,99.21,41.52,986,49.3,2996,0.35,46616376.58,40.59,-0.33,101.35,34.36,11.84,14.23,23.23,12.5,25
Apr 2001,99.05,41.32,983,47.1,3142,1.17,46511194.67,40.28,-0.61,101.32,32.18,-3.17,13.95,23.61,12.5,25
May 2001,99.07,41.23,1003,46.6,3217,1.69,46518407.08,40.58,-3.08,101.29,28.58,-18.4,13.54,21.11,43.75,25
Jun 2001,98.8,41.18,966,46.4,3447,1.71,46527671.17,39.56,0.88,101.26,25.67,-27.18,12.33,23.64,25,18.75
Jul 2001,98.55,41.11,933,45.7,3502,1.65,46424844.42,39.4,1.4,101.17,26.69,-27.69,13.09,24.93,12.5,25
Aug 2001,98.49,41.04,914,46.4,3591,1.53,46667816.5,39.42,0.08,101.08,28.36,-29.24,12.78,25.05,50,25
Sep 2001,98.58,40.96,924,47.4,3762,2.04,46696651.25,37.51,0.24,100.98,29.17,-35.16,11.24,26.31,62.5,25
Oct 2001,98.74,40.93,981,48.2,3914,2.37,46582519.75,36.74,-0.91,100.83,27.95,-42,10.53,26.01,37.5,37.5
Nov 2001,98.92,40.83,997,47.8,4024,2.74,46716798.17,38,0.85,100.67,25.89,-50.26,10.49,27.78,62.5,50
Dec 2001,99.39,40.93,1043,48.3,4062,3.37,46839481,38.9,-1.59,100.52,23.16,-60.31,11.12,26.28,75,62.5
Jan 2002,99.42,40.92,1066,49.2,4147,3.36,46585995.33,39.84,-0.34,100.38,20.22,-67.87,12.05,26.15,50,62.5
Feb 2002,99.64,40.96,1118,51.4,4180,3.15,46573136.58,40.61,-1.33,100.24,17.43,-73.29,12.18,25.01,56.25,50
Mar 2002,99.77,40.99,1124,53,4202,3.45,46382657.17,42.66,-3.18,100.1,14.72,-76.17,12.14,21.4,62.5,62.5
Apr 2002,99.91,41.18,1142,54.4,4177,3.46,46209832.33,43.15,-3.53,99.97,12.1,-77.62,13.02,16.77,68.75,62.5
May 2002,99.98,41.21,1137,55.8,4157,3.4,46415949,44.18,-3.7,99.85,10.95,-78.68,13.15,12.08,62.5,62.5
Jun 2002,100.18,41.25,1139,57.5,4072,3.2,46606562.08,43.43,1.62,99.73,13.61,-71.37,13.14,13.44,75,50
Jul 2002,100.35,41.29,1160,59.5,4055,2.94,46631141.58,41.32,3.12,99.62,16.38,-64.78,13.29,16.7,75,75
Aug 2002,100.56,41.37,1173,59.9,4070,2.61,46865291.17,42.73,2.1,99.49,21.08,-56,13.8,18.08,75,75
Sep 2002,100.57,41.37,1206,59.4,3998,2.21,46864746.25,41.64,3.01,99.4,26.63,-43.43,14.44,20.27,50,75
Oct 2002,100.6,41.34,1186,58.3,3980,2.33,46987209.25,40.76,3.32,99.34,31.66,-29.61,14.48,23.17,50,75
Nov 2002,100.99,41.33,1185,58.9,3876,2.8,47125381.08,41.18,2.79,99.3,36.2,-18.86,13.75,25.99,81.25,75
Dec 2002,101.01,41.29,1189,59.2,3861,2.82,47167831.92,40.8,0.16,99.27,38.38,-8.91,13.93,25.32,68.75,75
Jan 2003,101,41.27,1166,59.3,3857,2.86,47292988.83,40.81,0.06,99.2,40.21,2.26,14.92,24.05,62.5,50
Feb 2003,100.65,41.16,1129,58.9,3860,2.71,47467287.33,38.64,-1.4,99.15,42.54,13.87,15.46,20.97,12.5,50
