ORDERDATE,SALES,QUANTITYORDERED,COUNTRY,PRODUCTLINE,PRICEEACH,ADDRESSLINE1,CITY,STATE,CUSTOMERNAME,POSTALCODE,PHONE,TOTAL_REVENUE
2/24/2003 0:00,2871,30,USA,Motorcycles,95.7,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2871
8/25/2003 0:00,3746.7,45,USA,Motorcycles,83.26,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,3746.7000000000003
10/28/2003 0:00,3479.76,36,USA,Motorcycles,96.66,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,3479.7599999999998
2/20/2004 0:00,3965.66,37,Australia,Motorcycles,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,3700
4/5/2004 0:00,2333.12,23,USA,Motorcycles,100,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,2300
5/18/2004 0:00,3188.64,28,USA,Motorcycles,100,7476 Moss Rd.,Newark,NJ,Tekni Collectables Inc.,94019,2015559350,2800
6/28/2004 0:00,3676.76,34,USA,Motorcycles,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,3400
8/27/2004 0:00,4099.68,36,USA,Motorcycles,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,3600
11/2/2004 0:00,4358.04,46,USA,Motorcycles,94.74,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,4358.04
11/15/2004 0:00,4396.14,42,USA,Motorcycles,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,4200
12/17/2004 0:00,1451,20,Australia,Motorcycles,72.55,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,1451
3/3/2005 0:00,3207.12,42,USA,Motorcycles,76.36,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,3207.12
7/24/2003 0:00,7374.1,37,USA,Classic Cars,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,3700
10/20/2003 0:00,4860.24,21,USA,Classic Cars,100,5905 Pompton St.,NYC,NY,Classic Legends Inc.,10022,2125558493,2100
11/6/2003 0:00,8014.82,34,Australia,Classic Cars,100,31 Duncan St. West End,South Brisbane,Queensland,"Australian Gift Network, Co",4101,61-7-3844-6555,3400
11/13/2003 0:00,5372.57,23,USA,Classic Cars,100,782 First Street,Philadelphia,PA,"Classic Gift Ideas, Inc",71270,2155554695,2300
12/5/2003 0:00,9064.89,47,Canada,Classic Cars,100,1900 Oak St.,Vancouver,BC,Canadian Gift Exchange Network,V3F 2K1,(604) 555-3392,4700
1/29/2004 0:00,6075.3,35,USA,Classic Cars,100,3675 Furth Circle,Burbank,CA,West Coast Collectables Co.,94019,3105553722,3500
3/10/2004 0:00,6463.23,29,USA,Classic Cars,100,4658 Baden Av.,Cambridge,MA,Cambridge Collectables Co.,51247,6175555555,2900
5/4/2004 0:00,6120.34,34,USA,Classic Cars,100,567 North Pendale Street,New Haven,CT,Super Scale Inc.,97823,2035559545,3400
6/15/2004 0:00,7680.64,32,Japan,Classic Cars,100,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,3200
7/19/2004 0:00,4905.39,21,Australia,Classic Cars,100,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,2100
10/21/2004 0:00,11623.7,48,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4800
11/4/2004 0:00,6000.4,40,USA,Classic Cars,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,4000
11/29/2004 0:00,3944.7,30,Australia,Classic Cars,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,3000
12/10/2004 0:00,5691.84,32,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3200
1/20/2005 0:00,4514.92,41,USA,Classic Cars,100,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,4100
3/9/2005 0:00,2416.56,24,Australia,Classic Cars,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2400
5/1/2005 0:00,4140.23,23,Canada,Classic Cars,100,43 rue St. Laurent,Montreal,Quebec,Quebec Home Shopping Network,H1J 1C3,(514) 555-8054,2300
2/24/2003 0:00,3896.49,39,USA,Motorcycles,99.91,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,3896.49
4/29/2003 0:00,2793.86,29,Australia,Motorcycles,96.34,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,2793.86
8/25/2003 0:00,5192.95,37,USA,Motorcycles,100,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,3700
10/28/2003 0:00,3660.93,27,USA,Motorcycles,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,2700
