"LocationID","Borough","Zone","service_zone","Address"
1,"EWR","Newark Airport","EWR","EWR ,Newark Airport"
2,"Queens","Jamaica Bay","Boro Zone","Queens ,Jamaica Bay"
3,"Bronx","Allerton/Pelham Gardens","Boro Zone","Bronx ,Allerton/Pelham Gardens"
4,"Manhattan","Alphabet City","Yellow Zone","Manhattan ,Alphabet City"
5,"Staten Island","Arden Heights","Boro Zone","Staten Island ,Arden Heights"
6,"Staten Island","Arrochar/Fort Wadsworth","Boro Zone","Staten Island ,Arrochar/Fort Wadsworth"
7,"Queens","Astoria","Boro Zone","Queens ,Astoria"
8,"Queens","Astoria Park","Boro Zone","Queens ,Astoria Park"
9,"Queens","Auburndale","Boro Zone","Queens ,Auburndale"
10,"Queens","Baisley Park","Boro Zone","Queens ,Baisley Park"
11,"Brooklyn","Bath Beach","Boro Zone","Brooklyn ,Bath Beach"
12,"Manhattan","Battery Park","Yellow Zone","Manhattan ,Battery Park"
13,"Manhattan","Battery Park City","Yellow Zone","Manhattan ,Battery Park City"
14,"Brooklyn","Bay Ridge","Boro Zone","Brooklyn ,Bay Ridge"
15,"Queens","Bay Terrace/Fort Totten","Boro Zone","Queens ,Bay Terrace/Fort Totten"
16,"Queens","Bayside","Boro Zone","Queens ,Bayside"
17,"Brooklyn","Bedford","Boro Zone","Brooklyn ,Bedford"
18,"Bronx","Bedford Park","Boro Zone","Bronx ,Bedford Park"
19,"Queens","Bellerose","Boro Zone","Queens ,Bellerose"
20,"Bronx","Belmont","Boro Zone","Bronx ,Belmont"
21,"Brooklyn","Bensonhurst East","Boro Zone","Brooklyn ,Bensonhurst East"
22,"Brooklyn","Bensonhurst West","Boro Zone","Brooklyn ,Bensonhurst West"
23,"Staten Island","Bloomfield/Emerson Hill","Boro Zone","Staten Island ,Bloomfield/Emerson Hill"
24,"Manhattan","Bloomingdale","Yellow Zone","Manhattan ,Bloomingdale"
25,"Brooklyn","Boerum Hill","Boro Zone","Brooklyn ,Boerum Hill"
26,"Brooklyn","Borough Park","Boro Zone","Brooklyn ,Borough Park"
27,"Queens","Breezy Point/Fort Tilden/Riis Beach","Boro Zone","Queens ,Breezy Point/Fort Tilden/Riis Beach"
28,"Queens","Briarwood/Jamaica Hills","Boro Zone","Queens ,Briarwood/Jamaica Hills"
29,"Brooklyn","Brighton Beach","Boro Zone","Brooklyn ,Brighton Beach"
30,"Queens","Broad Channel","Boro Zone","Queens ,Broad Channel"
31,"Bronx","Bronx Park","Boro Zone","Bronx ,Bronx Park"
32,"Bronx","Bronxdale","Boro Zone","Bronx ,Bronxdale"
33,"Brooklyn","Brooklyn Heights","Boro Zone","Brooklyn ,Brooklyn Heights"
